2026-04-17 11:29:02,722 - ALERT - IP: 192.168.1.16 | Attack: DoS | MITRE: Impact(T1499) | Action: Drop traffic
2026-04-17 15:49:47,611 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,616 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,618 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,621 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,624 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,629 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,633 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,636 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,640 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,646 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,647 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,651 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,654 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,662 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,667 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,675 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,677 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,682 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,686 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,698 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,699 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,701 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,704 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,709 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,715 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,722 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,724 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,728 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,732 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,737 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,742 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,745 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,752 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,754 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,757 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,761 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,769 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,770 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,774 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,778 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,787 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,791 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:47,802 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,816 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,818 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,822 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,825 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,831 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,840 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,842 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,851 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,853 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,860 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,867 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,871 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,875 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,880 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,885 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,894 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,896 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,898 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,901 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,905 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,912 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,914 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,921 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,923 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,929 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,932 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,934 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,940 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,944 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,948 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,954 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,963 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,964 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,966 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,969 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,973 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,979 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,983 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,989 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,992 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,996 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:48,999 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,003 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,010 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,019 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,022 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,020 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,025 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,028 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,039 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,041 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,044 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,056 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,056 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,057 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,061 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,065 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,073 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,078 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,086 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,087 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,089 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,093 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,097 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,102 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,110 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,111 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,115 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,117 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,125 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,127 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,130 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,135 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,144 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,147 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,150 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,157 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,162 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,168 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,177 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,182 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,186 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,188 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,191 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,197 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,206 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,208 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,216 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,224 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,227 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,235 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,242 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,247 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,262 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,264 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,266 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,277 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,291 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,294 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,305 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,312 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,322 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,325 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,326 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,329 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,334 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,340 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,360 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,363 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,364 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,366 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,368 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,374 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,378 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,385 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,393 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
2026-04-17 15:49:49,394 - ALERT - [CRITICAL] [Conf: 0.99] IP: 10.0.0.5 | Attack: DoS | MITRE: T1499 | Action: Rate Limit & Drop traffic
